application_number,corpus_role,project_name,community_district,vote_date,vote_year,lead_report_flag,pdf_url,report_stem,index_omission_evidence,validation_coder,validation_date,source_usable,source_unavailable_reason,vote_date_basis
C 000074 PPM,certified_ulurp_report,Ten Manhattan City-Owned Properties,MN 03,07/26/2000,2000,FALSE,,000074,"Council Resolution 1545 records the CPC decision dated July 26, 2000 on this Section 197-c disposition and Council later disapproved it. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 990232 ZMR,certified_ulurp_report,West Brighton Rezoning,SI 01,07/26/2000,2000,FALSE,,990232,"ZAP identifies a completed ULURP project and Council Resolution 1502 records the CPC decision dated July 26, 2000. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 990235 PCQ,certified_ulurp_report,DEP Central Vehicle Repair,QN 02,07/26/2000,2000,FALSE,,990235,"ZAP identifies a completed ULURP project and Council Resolution 1543 records the CPC decision dated July 26, 2000. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 990681 ZMR,certified_ulurp_report,Snug Harbor East,SI 01,07/26/2000,2000,FALSE,,990681,"ZAP identifies a completed ULURP project and Council Resolution 1501 records the CPC decision dated July 26, 2000. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 010185 ZMQ,certified_ulurp_report,Eagle Electric Building,QN 01,12/17/2001,2001,FALSE,,010185,"ZAP identifies a completed ULURP project and Council Resolution 38 records the CPC decision dated December 17, 2001. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 020278 PSK,certified_ulurp_report,West 17th Street Museum,BK 13,04/03/2002,2002,FALSE,,020278,"Council introduced this Section 197-c ULURP referral on April 10, 2002. Other applications in the same referral cohort state that CPC voted April 3 and filed decisions April 9. No DCP index row or public report file exists.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,inferred_from_council_referral_cohort_and_cpc_vote_calendar
C 020279 HDK,certified_ulurp_report,West 17th Street Museum Disposition,BK 13,04/03/2002,2002,FALSE,,020279,"Council introduced this Section 197-c ULURP referral on April 10, 2002. Other applications in the same referral cohort state that CPC voted April 3 and filed decisions April 9. No DCP index row or public report file exists.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,inferred_from_council_referral_cohort_and_cpc_vote_calendar
C 080019 HAX,certified_ulurp_report,Longwood Gardens,BX 02,10/31/2007,2007,TRUE,,080019,"ZAP identifies a completed ULURP project and Council Resolution 1194 records the CPC decision dated October 31, 2007. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
C 080020 PQX,certified_ulurp_report,Longwood Gardens,BX 02,10/31/2007,2007,FALSE,,080020,"ZAP identifies a completed ULURP project and Council records identify it as the paired acquisition in the October 31, 2007 CPC decision. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,paired_council_resolution_cpc_decision_date
C 770182 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 01,08/15/1977,1977,FALSE,,770182,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0311?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770183 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 03,08/15/1977,1977,FALSE,,770183,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0312?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770184 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 04,08/15/1977,1977,FALSE,,770184,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0313?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770185 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 05,08/15/1977,1977,FALSE,,770185,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0314?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770186 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 06,08/15/1977,1977,FALSE,,770186,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0315?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770187 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 07,08/15/1977,1977,FALSE,,770187,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0316?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770188 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 08,08/15/1977,1977,FALSE,,770188,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0317?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770189 PPK,certified_ulurp_report,SALE OF CITY-OWNED PROPERTY,BK 16,08/15/1977,1977,FALSE,,770189,"The ZAP project API records a completed CPC vote on August 15, 1977 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1977K0318?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770594 MFQ,certified_ulurp_report,,QN 01,01/02/1979,1979,FALSE,,770594,"The ZAP project API records a completed CPC vote on January 2, 1979 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1978Q0150?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 770516 MFY,certified_ulurp_report,,,03/14/1979,1979,FALSE,,770516,"The ZAP project API records a completed CPC vote on March 14, 1979 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1978Y0081?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 780195 MMX,certified_ulurp_report,"CHARLOTTE ST,BOSTON RD",BX 03,12/18/1978,1978,FALSE,,780195,"The ZAP project API records a completed CPC vote on December 18, 1978 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1978X0475?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 780552 PLK,certified_ulurp_report,600 HAMILTON AVE,BK 06,04/16/1979,1979,FALSE,,780552,"The ZAP project API records a completed CPC vote on April 16, 1979 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1979K0209?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 780376 MFY,certified_ulurp_report,,,10/09/1979,1979,FALSE,,780376,"The ZAP project API records a completed CPC vote on October 9, 1979 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1979Y0036?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790597 PPM,certified_ulurp_report,,MN 02,02/11/1980,1980,FALSE,,790597,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0165?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790599 PPM,certified_ulurp_report,,MN 04,02/11/1980,1980,FALSE,,790599,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0167?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790600 PPM,certified_ulurp_report,,MN 05,02/11/1980,1980,FALSE,,790600,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0168?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790601 PPM,certified_ulurp_report,,MN 06,02/11/1980,1980,FALSE,,790601,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0169?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790602 PPM,certified_ulurp_report,,MN 07,02/11/1980,1980,FALSE,,790602,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0170?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790604 PPM,certified_ulurp_report,,MN 09,02/11/1980,1980,FALSE,,790604,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0172?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790605 PPM,certified_ulurp_report,,MN 10,02/11/1980,1980,FALSE,,790605,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0173?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790606 PPM,certified_ulurp_report,,MN 11,02/11/1980,1980,FALSE,,790606,"The ZAP project API records a completed CPC vote on February 11, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0174?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790583 PPX,certified_ulurp_report,,BX 01,02/13/1980,1980,FALSE,,790583,"The ZAP project API records a completed CPC vote on February 13, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980X0151?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790584 PPX,certified_ulurp_report,,BX 03,02/13/1980,1980,FALSE,,790584,"The ZAP project API records a completed CPC vote on February 13, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980X0152?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 780392 MMQ,certified_ulurp_report,79TH ST BET 156 & 157 AVES,QN 10,05/14/1980,1980,FALSE,,780392,"The ZAP project API records a completed CPC vote on May 14, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1979Q0033?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800238 TLM,certified_ulurp_report,THE ASPHALT GREEN PIER,MN 08,09/03/1980,1980,FALSE,,800238,"The ZAP project API records a completed CPC vote on September 3, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0825?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790642 MMQ,certified_ulurp_report,143TH ST BET NO CONDUIT AVE & 135TH AVE,QN 12,09/02/1980,1980,FALSE,,790642,"The ZAP project API records a completed CPC vote on September 2, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980Q0281?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800068 TCM,certified_ulurp_report,VILLA EDA RESTAURANT,MN 02,09/03/1980,1980,FALSE,,800068,"The ZAP project API records a completed CPC vote on September 3, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M1137?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800067 TCM,certified_ulurp_report,EMPIRE SZECHUAN GOURMET,MN 07,09/03/1980,1980,FALSE,,800067,"The ZAP project API records a completed CPC vote on September 3, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M1136?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800328 TCM,certified_ulurp_report,MIDAN RESTAURANT,MN 04,06/18/1980,1980,FALSE,,800328,"The ZAP project API records a completed CPC vote on June 18, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M1153?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800399 PPK,certified_ulurp_report,VILLA STORICA,BK 06,09/03/1980,1980,FALSE,,800399,"The ZAP project API records a completed CPC vote on September 3, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980K0941?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800332 PER,certified_ulurp_report,"AMBOY RD, POILLON AVE, BILLIOU ST, COMMUNITY LANE,",SI 03,07/30/1980,1980,FALSE,,800332,"The ZAP project API records a completed CPC vote on July 30, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980R0788?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790808 GFM,certified_ulurp_report,ACROSS EXCHANGE PLACE EAST AT WILLIAM ST,MN 01,09/03/1980,1980,FALSE,,790808,"The ZAP project API records a completed CPC vote on September 3, 1980 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0474?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800813 HAM,certified_ulurp_report,236 E3RD ST BET AVE B & C,MN 03,01/21/1981,1981,FALSE,,800813,"The ZAP project API records a completed CPC vote on January 21, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981M0196?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800569 TCM,certified_ulurp_report,BRUNO BAKER,MN 02,02/11/1981,1981,FALSE,,800569,"The ZAP project API records a completed CPC vote on February 11, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M1180?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800628 TCM,certified_ulurp_report,GRANADOS RESTAURANT,MN 02,02/11/1981,1981,FALSE,,800628,"The ZAP project API records a completed CPC vote on February 11, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981M1090?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 790752 GFM,certified_ulurp_report,E70TH ST BET YORK AVE & EXTERIOR ST,MN 08,04/15/1981,1981,FALSE,,790752,"The ZAP project API records a completed CPC vote on April 15, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M0395?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 810146 PPX,certified_ulurp_report,"DI FINI ORIGINALS, INC.",BX 01,06/03/1981,1981,FALSE,,810146,"The ZAP project API records a completed CPC vote on June 3, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981X0598?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 810157 PSX,certified_ulurp_report,1055 BX RIVER AV. BET EDGEWATER RD & BRONX RIVER.,BX 02,07/08/1981,1981,FALSE,,810157,"The ZAP project API records a completed CPC vote on July 8, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981X0610?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800571 TCM,certified_ulurp_report,N.Y. BOAT YARD,MN 08,05/20/1981,1981,FALSE,,800571,"The ZAP project API records a completed CPC vote on May 20, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1980M1182?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 810457 HDM,certified_ulurp_report,517 W184TH ST,MN 12,09/16/1981,1981,FALSE,,810457,"The ZAP project API records a completed CPC vote on September 16, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981M0901?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
